Animals amount;Plants amount;Free tiles amount;Average energy;Dead animals average age;Average children amount;Most popular genotypes
13;8;10;11.307692307692308;15.0;1.5384615384615385;[5, 1, 4, 4, 4] [7, 3, 0, 1, 1] [5, 1, 3, 7, 3] 
14;7;9;11.071428571428571;14.285714285714286;1.6428571428571428;[3, 1, 0, 5, 5] [5, 1, 4, 4, 4] [7, 3, 0, 1, 1] 
15;5;9;10.733333333333333;14.285714285714286;1.6666666666666667;[2, 1, 7, 0, 7] [3, 1, 0, 5, 5] [5, 1, 4, 4, 4] 
15;8;9;10.466666666666667;14.375;1.6666666666666667;[2, 1, 7, 0, 7] [3, 1, 0, 5, 5] [7, 3, 0, 1, 1] 
14;7;9;11.357142857142858;16.5;1.2857142857142858;[2, 1, 7, 0, 7] [3, 1, 0, 5, 5] [5, 1, 3, 7, 3] 
14;7;9;11.142857142857142;15.454545454545455;1.3571428571428572;[2, 1, 7, 0, 7] [3, 1, 0, 5, 5] [7, 1, 3, 0, 3] 
13;7;11;11.461538461538462;13.846153846153847;1.4615384615384615;[2, 1, 7, 0, 7] [3, 1, 0, 5, 5] [7, 1, 3, 0, 3] 
15;8;9;10.066666666666666;13.846153846153847;1.5333333333333334;[2, 1, 7, 0, 7] [3, 1, 0, 5, 5] [7, 1, 3, 0, 3] 
15;6;11;10.466666666666667;13.214285714285714;1.6;[3, 1, 0, 5, 5] [7, 1, 3, 0, 3] [5, 5, 6, 5, 6] 
17;7;9;8.941176470588236;13.214285714285714;1.6470588235294117;[3, 1, 0, 5, 5] [7, 1, 3, 0, 3] [5, 5, 6, 5, 6] 
2;3;5;501.5;NaN;0.0;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] 
2;5;2;503.0;NaN;0.0;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] 
2;5;2;504.5;NaN;0.0;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] 
2;4;4;508.5;NaN;0.0;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] 
2;3;4;510.0;NaN;0.0;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] 
2;6;2;511.5;NaN;0.0;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] 
2;7;2;515.5;NaN;0.0;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] 
2;6;2;519.5;NaN;0.0;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] 
2;7;1;521.0;NaN;0.0;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] 
2;7;2;525.0;NaN;0.0;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] 
3;6;2;351.0;NaN;0.6666666666666666;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] [7, 1, 0, 0, 0] 
3;6;2;355.0;NaN;0.6666666666666666;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] [7, 1, 0, 0, 0] 
4;4;3;268.0;NaN;1.0;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] [6, 6, 6, 2, 2] 
5;4;2;213.6;NaN;1.2;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] [6, 5, 6, 5, 1] 
5;4;3;215.6;NaN;1.2;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] [6, 5, 6, 5, 1] 
6;6;2;179.66666666666666;NaN;1.3333333333333333;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] [6, 5, 6, 5, 1] 
7;6;1;155.28571428571428;NaN;1.4285714285714286;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] [6, 5, 6, 5, 1] 
9;6;1;121.66666666666667;NaN;1.5555555555555556;[6, 6, 0, 6, 7] [5, 6, 3, 2, 3] [6, 5, 6, 5, 1] 
11;4;1;100.54545454545455;NaN;1.6363636363636365;[3, 1, 1, 4, 4] [6, 6, 0, 6, 7] [5, 6, 3, 2, 3] 
13;6;1;85.07692307692308;5.0;1.7692307692307692;[3, 6, 0, 1, 3] [3, 1, 1, 4, 4] [5, 6, 3, 2, 3] 
14;4;0;79.85714285714286;5.0;1.7857142857142858;[3, 6, 0, 1, 3] [3, 1, 1, 4, 4] [5, 6, 3, 2, 3] 
13;2;0;86.23076923076923;6.666666666666667;1.6153846153846154;[3, 6, 0, 1, 3] [3, 1, 1, 4, 4] [5, 6, 3, 2, 3] 
14;4;1;79.57142857142857;6.25;1.7142857142857142;[7, 4, 4, 1, 1] [3, 6, 0, 1, 3] [3, 1, 1, 4, 4] 
16;3;1;69.75;6.0;1.75;[7, 4, 4, 1, 1] [3, 6, 0, 1, 3] [3, 1, 1, 4, 4] 
18;3;1;62.0;5.833333333333333;1.8333333333333333;[7, 4, 4, 1, 1] [3, 6, 0, 1, 3] [5, 6, 3, 2, 3] 
